IdLugarSalida,Lugar Salida,IdTranspSalidad,Transporte Internacional de Salida,FechaSalida,IdFecSalida,FechaEntrada,IdFecEntrada,IdNacionalidad,Pais,IdDeptoResidencia,Departamento,IdMotivo,Motivo,IdOcupacion,Ocupacion,IdNivelEstudio,Estudio,IdDestino,Destino,IdAlojamiento,Alojamiento,IdLugarIngreso,Lugar Ingreso,IdTranspIngreso,Transporte Internacional de Ingreso,IdTranspLocal,Trasporte Local,Estadia,Gente,GastoTotal,GastoAlojamiento,GastoAlimentacion,GastoTransporteInternac,GatoTransporteLocal,GastoCultural,GastoTours,GastoCompras,GastoResto,Coef,CoefTot
1,Colonia,5,Maritimo - Fluvial,2018-12-22,14235,2018-12-26,14239,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,15,"Obrero esp, Conductor, Artesano",4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,4,3,496.68,0.0,155.21,223.51,0.0,94.12,0.0,0.0,247.35,243.4,730.2
13,Rivera,2,Terrestre Auto,2017-09-22,13779,2017-09-25,13782,1,Uruguay,53,Rivera,2,Visita familiares / amigos,2,Ama de casa,4.0,Secundaria completa,20,Brasil,6,Vivienda Familiares / Amigos,13,Rivera,2,Terrestre Auto,0,Sin Datos,3,3,100.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,45.09,135.27
7,Fray Bentos,2,Terrestre Auto,2024-03-03,16133,2024-03-08,16138,1,Uruguay,20,Canelones,1,"Ocio, Recreo, Vacaciones",27,Profesional dependiente,,,10,Argentina,1,Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,5,4,2536.72,405.88,710.28,0.0,152.2,152.2,0.0,496.39,619.77,330.11,1320.44
3,Aeropuerto de Carrasco,1,Aereo,2023-02-11,15747,2023-02-21,15757,1,Uruguay,21,Montevideo,6,Religion y Peregrinaciones,22,Religioso,7.0,Otros,40,Europa,11,Otros,3,Aeropuerto de Carrasco,1,Aereo,4,Auto familiares / amigos,10,1,931.61,0.0,593.7,1942.72,0.0,0.0,0.0,0.0,337.91,230.8,230.8
3,Aeropuerto de Carrasco,1,Aereo,2022-11-21,15665,2022-11-23,15667,1,Uruguay,21,Montevideo,3,Trabajo / Profesion,14,"Jefe, Capataz, Encargado",4.0,Secundaria completa,10,Argentina,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,2,2,686.0,146.0,160.0,450.0,20.0,0.0,0.0,350.0,10.0,263.54,527.08
10,Salto,2,Terrestre Auto,2025-05-01,16557,2025-05-05,16561,1,Uruguay,60,Salto,2,Visita familiares / amigos,1,"Jubilado, Pensionista",,,10,Argentina,6,Vivienda Familiares / Amigos,10,Salto,2,Terrestre Auto,1,Auto propio,4,2,400.0,0.0,127.33,0.0,125.62,0.0,0.0,147.05,0.0,155.93,311.86
7,Fray Bentos,3,Terrestre Bus,2019-05-29,14393,2019-06-04,14399,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",5.0,Terciaria incompleta,10,Argentina,1,Hotel,7,Fray Bentos,3,Terrestre Bus,3,Taxi - Bus,6,2,1949.08,486.05,274.11,127.88,463.28,0.0,0.0,215.71,509.94,131.62,263.25
1,Colonia,5,Maritimo - Fluvial,2023-11-26,16035,2023-12-01,16040,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,10,Argentina,5,Vivienda Arrendada,1,Colonia,5,Maritimo - Fluvial,3,Taxi - Bus,5,4,2000.0,300.0,561.49,300.0,619.74,0.0,0.0,518.77,0.0,184.16,736.63
2,Puerto de montevideo,5,Maritimo - Fluvial,2018-08-11,14102,2018-08-14,14105,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,2,Puerto de montevideo,5,Maritimo - Fluvial,4,Auto familiares / amigos,3,2,287.3,0.0,69.07,252.36,0.0,0.0,0.0,0.0,218.23,321.76,643.53
8,Paysandú,2,Terrestre Auto,2020-02-08,14648,2020-02-12,14652,1,Uruguay,61,Paysandu,2,Visita familiares / amigos,16,"Empl. Adm, Cajero, Vendedor",5.0,Terciaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,8,Paysandú,2,Terrestre Auto,1,Auto propio,4,1,300.0,0.0,100.0,0.0,108.68,0.0,0.0,91.32,0.0,883.33,883.33
